"Content Length","Thread count","Sleep (ms)","Server time (ms)","Total time (ms)","Network Latency (ms)",Free,Buff,Cache,User,System,Idle
20000,1,0,28.941162,1.47817,-27.462992,0,0,55952,0,3,97
20000,2,0,51.916217,1.68284,-50.233377,0,0,55952,2,11,87
20000,3,0,61.019036333333,1.95557,-59.063466333333,0,0,55960,83,0,17
20000,4,0,74.0303645,2.29096,-71.7394045,0,0,55964,77,0,23
20000,5,0,79.8669058,2.381188,-77.4857178,0,0,55964,6,12,82
20000,6,0,87.1949685,2.667185,-84.5277835,104768,56164,532852,0,0,100
20000,7,0,108.372992,3.2300628571429,-105.14292914286,103676,56166,532856,0,0,100
20000,8,0,91.256195625,3.1091475,-88.147048125,104340,56168,533364,63,0,37
20000,9,0,106.53751988889,3.6424877777778,-102.89503211111,104524,56176,533364,0,4,96
20000,10,0,98.382339099999,3.767011,-94.615328099999,105470,56178,533372,0,0,100
20000,11,0,115.97127718182,4.1725272727273,-111.79874990909,103920,56180,533372,0,4,96
20000,12,0,135.26008241667,4.870935,-130.38914741667,103456,56184,533376,52,0,48
20000,13,0,133.08351976923,5.0308684615385,-128.05265130769,51514,28094,294782,23,13,64
20000,14,0,131.94966214286,5.3096814285714,-126.63998071428,101760,56190,533382,155,0,-55
20000,15,0,107.99317266667,4.853328,-103.13984466667,102148,56192,533388,43,0,57
20000,16,0,108.2652939375,5.356275,-102.9090189375,102148,56196,533388,57,0,43
20000,17,0,120.32126394118,6.0966370588235,-114.22462688235,101138,56200,533392,21,0,79
20000,18,0,127.39461105556,6.7637933333333,-120.63081772222,50378,28102,294800,18,19,63
20000,19,0,139.06567968421,7.1035889473684,-131.96209073684,50110,28102,294804,10,0,90
20000,20,0,131.0713301,6.740645,-124.3306851,0,0,56208,447,0,-347
