X Threads ServerTime TotalTime
1 1 30.580791 -3.92708
2 2 35.3151085 -4.10032
3 3 47.182359333333 -3.9555033333333
4 4 51.115337 -4.0427575
5 5 68.3321848 -3.707582
6 6 101.00779398667 -4.103765
7 7 97.208213028572 -3.9951128571429
8 8 93.151007356249 -3.5528375
9 9 87.911027556666 -3.47887
10 10 87.041767219999 -3.402584
11 11 89.642385958181 -2.9826290909091
12 12 87.448826435 -2.80194
13 13 86.048419713077 -2.6632169230769
14 14 85.502036962856 -2.886625
15 15 89.798124337334 -2.0569893333333
16 16 93.90116307625 -1.59612875
17 17 91.948761886471 -2.0069576470588
18 18 91.198110396668 -1.9720133333333
19 19 88.720601829474 -4.0833526315789
20 20 91.574785154501 -0.2970875
