X Threads ServerTime TotalTime
1 1 0.1454 1586169717.5662
2 1 0.17521 1586169738.695
3 1 0.00428 1586169490.5669
4 1 0.11451 1586169664.8954
5 1 0.05124 1586169628.1691
6 1 0.02259 1586169539.2134
7 1 0.05371 1586169608.7622
8 1 0.12223 1586169681.6382
9 1 0.19231 1586169761.2283
10 1 0.01586 1586169513.2887
11 1 0.0521 1586169598.6366
12 1 0.04963 1586169618.4417
13 1 0.0026 1586169485.4814
14 1 0.04399 1586169580.2441
15 1 0.04387 1586169589.1622
16 1 0.0172 1586169519.6075
17 1 0.02624 1586169546.2495
18 1 0.00976 1586169507.475
19 1 0.0418 1586169571.2041
20 1 0.13424 1586169699.1273
21 1 0.00922 1586169496.3219
22 1 0.06891 1586169638.8173
23 1 0.00939 1586169501.9096
24 1 0.07837 1586169650.9053
25 1 0.01793 1586169525.9441
26 1 0.04118 1586169562.4817
27 1 0.01939 1586169532.3234
28 1 0.03808 1586169553.9452
