X Threads ServerTime TotalTime
1 1 16.85 1586171812152.2
2 2 15.56 1586171817476.4
3 3 16.272727272727 1586171895419.8
4 4 41.751879699248 1586171910238.2
5 5 43.253012048193 1586171924642.5
6 6 47.484848484848 1586171939784.5
7 7 57.33734939759 1586171957263.6
8 8 56.801724137931 1586171974984.7
9 9 55.353535353535 1586171994355.1
10 10 78.94472361809 1586172015040.1
11 11 72.791946308725 1586172035698.9
12 12 68.704545454545 1586172057157.4
13 13 81.064655172414 1586172083201.2
14 14 83.598901098901 1586172105019.1
15 15 83.715151515152 1586172125866.4
16 100 98.36 1586173372680.8
