"Content Length","Thread count","Sleep (ms)","Server time (ms)","Total time (ms)","Network Latency (ms)",Free,Buff,Cache,User,System,Idle
20000,1,0,28.46225063,33.6146,5.15234937,120879,67840,577451,33,10,57
20000,2,0,58.52386506,66.972085,8.44821994,119234,67846,577511,31,6,63
20000,3,0,85.760530736667,96.344216666667,10.58368593,118189,67935,577622,49,0,51
20000,4,0,113.8077204425,128.4172275,14.6095070575,117467,67969,577759,38,1,61
20000,5,0,142.01324593,163.936066,21.92282007,116632,68095,578129,48,0,52
20000,6,0,142.89654223167,201.38209,58.485547768333,116028,68131,578384,51,1,48
20000,7,0,143.71209252857,232.94728857143,89.235196042857,114310,68151,578617,48,0,52
20000,8,0,153.388195415,281.746265,128.358069585,112615,68191,579013,48,0,52
20000,9,0,145.32346287111,297.44183222222,152.11836935111,111635,68229,579314,38,0,62
20000,10,0,146.469279353,335.873373,189.404093647,111540,68252,579645,50,0,50
20000,11,0,142.84517215818,356.99760454545,214.15243238727,111837,68269,580008,46,0,54
20000,12,0,144.14380745583,392.47100083333,248.3271933775,111258,68302,580421,36,0,64
20000,13,0,145.97494358769,436.49730384615,290.52236025846,109061,68348,580856,36,0,64
20000,14,0,148.40502518571,471.97432857143,323.56930338571,108326,68405,581329,44,0,56
20000,15,0,142.94004130933,488.078486,345.13844469067,108454,68458,581844,45,0,55
20000,16,0,145.85223000937,533.816789375,387.96455936563,109016,68494,582383,38,0,62
20000,17,0,144.48792542,558.94450176471,414.45657634471,108070,68537,582978,43,0,57
20000,18,0,143.60977516222,586.36884111111,442.75906594889,107870,68579,583613,44,0,56
20000,19,0,150.10780981316,648.38799,498.28018018684,106986,68640,584266,38,0,62
20000,20,0,150.1748031575,682.2107995,532.0359963425,105983,68692,584949,42,0,58
