1585922624 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922624  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922624  1  0      0 399476  22912 419248    0    0  1182   513   88  367  2  2 96  0  0
1585922625  0  0      0 397872  22912 419244    0    0     0     0   50  162  1  1 98  0  0
1585922626  0  0      0 397780  22912 419244    0    0     0     0  120  286  2  0 98  0  0
1585922627  0  0      0 397656  22912 419244    0    0     0     0   32  112  0  0 100  0  0
1585922628  0  0      0 397656  22920 419244    0    0     0    52   47  148  0  0 100  0  0
1585922629  0  0      0 398756  22924 419252    0    0     4  5276   71  242  1  0 98  1  0
1585922630  0  0      0 398756  22924 419252    0    0     0     0   36  126  0  0 100  0  0
1585922631  0  0      0 398756  22924 419252    0    0     0     0   32  111  0  0 100  0  0
1585922632  0  0      0 398756  22924 419252    0    0     0     0   26   99  0  1 99  0  0
1585922633  0  0      0 398756  22932 419252    0    0     0   104   45  138  1  0 98  1  0
1585922634  0  0      0 398724  22932 419252    0    0     0  2164   51  141  0  0 99  1  0
1585922635  0  0      0 398724  22932 419252    0    0     0     0   38  122  0  0 100  0  0
1585922636  0  0      0 398724  22932 419252    0    0     0     0   23   95  1  1 98  0  0
1585922637  0  0      0 398724  22932 419252    0    0     0     0   35  121  0  0 100  0  0
1585922638  0  0      0 398724  22940 419252    0    0     0    68   40  114  0  0 100  0  0
1585922639  0  0      0 396840  22940 419252    0    0     0  1760   67  154  1  1 97  1  0
1585922640  1  0      0 395180  22940 419336    0    0    56     0  195  834 46 12 41  0  1
1585922641  0  0      0 394420  22940 419352    0    0     0     0   55  559  3  3 94  0  0
1585922642  0  0      0 394452  22940 419352    0    0     0     0   43  138  0  1 99  0  0
1585922643  0  0      0 394320  22948 419352    0    0     0    60   56  163  0  0 100  0  0
1585922644  0  0      0 394320  22948 419352    0    0     0     0   39  149  0  0 100  0  0
1585922645 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922645  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922645  1  0      0 394352  22948 419352    0    0     0     0   47  148  0  0 100  0  0
1585922646  0  0      0 394096  22948 419352    0    0     0     0   42  148  0  2 98  0  0
1585922647  0  0      0 394096  22948 419352    0    0     0     0   36  122  1  0 99  0  0
1585922648  0  0      0 394128  22956 419352    0    0     0    40   73  234  1  0 99  0  0
1585922649  0  0      0 394160  22956 419352    0    0     0     0   48  148  0  0 100  0  0
1585922650  0  0      0 393976  22956 419352    0    0     0    12   69  382  1  0 99  0  0
1585922651  0  0      0 394008  22956 419352    0    0     0     0   29  106  0  0 100  0  0
1585922652  0  0      0 393016  22996 420264    0    0   940     0  128  364  7  1 91  1  0
1585922653  0  0      0 393016  23004 420264    0    0     0   104   38  120  0  1 99  0  0
1585922654  0  0      0 392496  23004 420432    0    0   108     0   68  213  1  0 96  3  0
1585922655  0  0      0 392124  23004 420432    0    0     0   436   82  341  0  0 99  1  0
1585922656  0  0      0 392116  23004 420432    0    0     0     0   36  126  0  0 100  0  0
1585922657  0  0      0 392116  23004 420432    0    0     0     0   25  103  0  1 99  0  0
1585922658  0  0      0 393404  23012 420432    0    0     0    28   53  304  1  1 97  0  1
1585922659  0  0      0 393312  23012 420524    0    0    92     0   70  240  2  0 98  0  0
1585922660  0  0      0 393312  23012 420524    0    0     0    12   37  109  0  1 99  0  0
1585922661  0  0      0 393312  23012 420524    0    0     0     0   38  250  0  1 99  0  0
1585922662  0  0      0 393312  23012 420524    0    0     0     0   30  106  1  0 99  0  0
1585922663  0  0      0 393320  23020 420524    0    0     0    28   42  126  0  0 96  4  0
